Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3
45000	1.7189	0.4397	0.4148	0.4397	0.4247	0.8565	0.8771	0.8566	0.8700	0.396167	0.365816	0.395262	0.375952
46000	1.7203	0.4404	0.4154	0.4396	0.4248	0.8562	0.8768	0.8566	0.8703	0.397124	0.366845	0.396005	0.376512
47000	1.7197	0.4404	0.4160	0.4394	0.4239	0.8561	0.8769	0.8566	0.8710	0.398110	0.367882	0.396779	0.377142
48000	1.7197	0.4410	0.4160	0.4393	0.4235	0.8559	0.8771	0.8567	0.8715	0.398973	0.368831	0.397427	0.377668
49000	1.7209	0.4417	0.4157	0.4398	0.4237	0.8555	0.8773	0.8566	0.8715	0.399800	0.369739	0.398038	0.378162
50000	1.7220	0.4419	0.4156	0.4409	0.4237	0.8553	0.8773	0.8562	0.8717	0.400547	0.370599	0.398570	0.378650
51000	1.7235	0.4425	0.4157	0.4411	0.4241	0.8551	0.8773	0.8560	0.8716	0.402526	0.372518	0.400255	0.380075
52000	1.7252	0.4430	0.4167	0.4413	0.4243	0.8549	0.8770	0.8559	0.8716	0.404029	0.373804	0.401456	0.380882
53000	1.7247	0.4428	0.4167	0.4412	0.4240	0.8549	0.8770	0.8560	0.8719	0.405363	0.374931	0.402478	0.381539
54000	1.7249	0.4430	0.4167	0.4412	0.4239	0.8548	0.8772	0.8560	0.8721	0.406554	0.375936	0.403393	0.382086
55000	1.7256	0.4430	0.4173	0.4407	0.4245	0.8547	0.8770	0.8563	0.8718	0.407685	0.376905	0.404306	0.382567
56000	1.7252	0.4429	0.4176	0.4400	0.4247	0.8547	0.8769	0.8568	0.8718	0.408728	0.377757	0.405134	0.383016
57000	1.7259	0.4431	0.4181	0.4399	0.4248	0.8546	0.8767	0.8571	0.8716	0.409694	0.378575	0.405927	0.383402
