Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5
30000	1.6697	0.2939	0.2703	0.2609	0.2858	0.2704	0.2885	0.9037	0.9169	0.9200	0.9068	0.9127	0.9060	0.409207	0.380232	0.388522	0.374197	0.374281	0.378864
31000	1.6615	0.2941	0.2703	0.2545	0.2841	0.2703	0.2883	0.9035	0.9166	0.9219	0.9073	0.9126	0.9060	0.410604	0.383870	0.394580	0.377514	0.376531	0.380783
32000	1.6642	0.2949	0.2715	0.2524	0.2840	0.2716	0.2897	0.9032	0.9161	0.9224	0.9073	0.9122	0.9054	0.411035	0.381697	0.393040	0.375752	0.374528	0.381709
33000	1.6664	0.2952	0.2717	0.2523	0.2849	0.2726	0.2896	0.9032	0.9161	0.9223	0.9070	0.9117	0.9055	0.411252	0.379571	0.390451	0.374005	0.372628	0.382461
34000	1.6720	0.2953	0.2727	0.2539	0.2860	0.2740	0.2901	0.9034	0.9156	0.9216	0.9066	0.9111	0.9052	0.411324	0.377521	0.387780	0.372184	0.370743	0.383089
35000	1.6775	0.2950	0.2736	0.2554	0.2871	0.2754	0.2909	0.9034	0.9153	0.9209	0.9062	0.9106	0.9049	0.411251	0.375385	0.384927	0.370145	0.368738	0.383453
36000	1.6822	0.2950	0.2742	0.2570	0.2879	0.2763	0.2918	0.9034	0.9149	0.9202	0.9058	0.9103	0.9046	0.410993	0.373248	0.382128	0.368085	0.366758	0.383706
37000	1.6872	0.2953	0.2752	0.2585	0.2885	0.2772	0.2925	0.9033	0.9143	0.9196	0.9056	0.9099	0.9043	0.410790	0.371224	0.379435	0.366125	0.364904	0.383993
38000	1.6905	0.2954	0.2761	0.2597	0.2888	0.2778	0.2926	0.9032	0.9139	0.9190	0.9054	0.9096	0.9042	0.410624	0.369241	0.376839	0.364182	0.363067	0.384345
39000	1.6920	0.2949	0.2763	0.2602	0.2897	0.2781	0.2929	0.9036	0.9138	0.9187	0.9052	0.9094	0.9041	0.410372	0.367335	0.374331	0.362302	0.361306	0.384522
40000	1.6961	0.2952	0.2769	0.2611	0.2905	0.2790	0.2933	0.9034	0.9135	0.9183	0.9049	0.9090	0.9039	0.410068	0.365446	0.371909	0.360469	0.359573	0.384540
41000	1.6969	0.2956	0.2765	0.2613	0.2906	0.2796	0.2934	0.9033	0.9136	0.9181	0.9048	0.9089	0.9039	0.411234	0.366954	0.376539	0.362152	0.361981	0.386690
42000	1.6996	0.2956	0.2771	0.2629	0.2905	0.2801	0.2934	0.9032	0.9131	0.9174	0.9048	0.9087	0.9038	0.411714	0.365270	0.377306	0.360581	0.360634	0.387659
43000	1.7028	0.2956	0.2774	0.2636	0.2912	0.2811	0.2939	0.9032	0.9129	0.9170	0.9046	0.9083	0.9037	0.412072	0.363449	0.377749	0.358887	0.359123	0.388355
44000	1.7044	0.2958	0.2779	0.2641	0.2911	0.2818	0.2936	0.9031	0.9126	0.9167	0.9046	0.9081	0.9039	0.412263	0.361665	0.377964	0.357259	0.357651	0.388970
