Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3
45000	1.4604	0.3629	0.3657	0.3669	0.3649	0.8842	0.8821	0.8794	0.8844	0.296906	0.297038	0.300175	0.294705
46000	1.4601	0.3625	0.3660	0.3673	0.3642	0.8847	0.8817	0.8792	0.8848	0.296835	0.296945	0.300116	0.294559
47000	1.4603	0.3617	0.3661	0.3680	0.3645	0.8856	0.8817	0.8790	0.8848	0.296652	0.296755	0.299952	0.294324
48000	1.4585	0.3610	0.3656	0.3682	0.3637	0.8862	0.8819	0.8789	0.8855	0.296520	0.296622	0.299834	0.294148
49000	1.4591	0.3610	0.3654	0.3684	0.3643	0.8864	0.8819	0.8789	0.8852	0.296441	0.296546	0.299758	0.294032
50000	1.4588	0.3606	0.3656	0.3687	0.3639	0.8870	0.8817	0.8787	0.8854	0.296305	0.296387	0.299616	0.293831
51000	1.4600	0.3610	0.3657	0.3690	0.3644	0.8868	0.8817	0.8786	0.8851	0.296671	0.296756	0.299911	0.294138
52000	1.4615	0.3614	0.3658	0.3693	0.3651	0.8865	0.8816	0.8785	0.8848	0.296574	0.296734	0.299859	0.294062
53000	1.4637	0.3621	0.3661	0.3702	0.3654	0.8861	0.8813	0.8782	0.8845	0.296428	0.296702	0.299788	0.293950
54000	1.4647	0.3622	0.3659	0.3708	0.3657	0.8860	0.8813	0.8779	0.8844	0.296156	0.296523	0.299573	0.293695
55000	1.4670	0.3631	0.3666	0.3710	0.3663	0.8857	0.8810	0.8777	0.8841	0.295834	0.296277	0.299306	0.293405
56000	1.4682	0.3635	0.3669	0.3712	0.3667	0.8854	0.8809	0.8777	0.8839	0.295543	0.296055	0.299073	0.293152
57000	1.4682	0.3634	0.3668	0.3716	0.3663	0.8853	0.8809	0.8775	0.8840	0.295182	0.295758	0.298759	0.292833
58000	1.4690	0.3638	0.3669	0.3717	0.3665	0.8851	0.8808	0.8774	0.8839	0.294839	0.295470	0.298457	0.292534
59000	1.4681	0.3639	0.3661	0.3714	0.3667	0.8851	0.8810	0.8775	0.8837	0.294519	0.295174	0.298171	0.292250
60000	1.4689	0.3641	0.3661	0.3716	0.3671	0.8849	0.8810	0.8774	0.8835	0.294309	0.294944	0.297952	0.292059
61000	1.4700	0.3644	0.3664	0.3717	0.3675	0.8847	0.8809	0.8775	0.8832	0.294483	0.295065	0.298036	0.292145
62000	1.4705	0.3643	0.3666	0.3716	0.3679	0.8846	0.8808	0.8776	0.8831	0.294380	0.294898	0.297871	0.291972
63000	1.4710	0.3644	0.3670	0.3718	0.3679	0.8845	0.8806	0.8777	0.8830	0.294138	0.294638	0.297615	0.291699
64000	1.4727	0.3652	0.3677	0.3716	0.3683	0.8841	0.8803	0.8777	0.8828	0.293898	0.294387	0.297348	0.291426
65000	1.4730	0.3652	0.3679	0.3713	0.3685	0.8840	0.8802	0.8778	0.8826	0.293696	0.294172	0.297117	0.291185
66000	1.4729	0.3654	0.3678	0.3710	0.3686	0.8838	0.8804	0.8779	0.8825	0.293468	0.293921	0.296840	0.290926
67000	1.4734	0.3657	0.3682	0.3711	0.3684	0.8836	0.8802	0.8779	0.8825	0.293274	0.293687	0.296577	0.290685
68000	1.4738	0.3662	0.3683	0.3709	0.3685	0.8833	0.8801	0.8779	0.8824	0.293091	0.293468	0.296288	0.290466
69000	1.4746	0.3662	0.3687	0.3710	0.3687	0.8832	0.8799	0.8779	0.8822	0.292901	0.293239	0.295987	0.290250
70000	1.4754	0.3665	0.3689	0.3709	0.3691	0.8831	0.8798	0.8779	0.8820	0.292751	0.293060	0.295722	0.290090
71000	1.4760	0.3662	0.3693	0.3711	0.3693	0.8831	0.8796	0.8779	0.8819	0.292890	0.293157	0.295706	0.290153
72000	1.4767	0.3667	0.3692	0.3712	0.3696	0.8829	0.8796	0.8779	0.8817	0.292782	0.293023	0.295456	0.289965
73000	1.4773	0.3670	0.3692	0.3715	0.3696	0.8827	0.8795	0.8778	0.8816	0.292650	0.292893	0.295209	0.289789
74000	1.4778	0.3672	0.3691	0.3717	0.3697	0.8826	0.8795	0.8777	0.8816	0.292519	0.292748	0.294963	0.289610
75000	1.4779	0.3674	0.3692	0.3719	0.3695	0.8825	0.8794	0.8776	0.8818	0.292361	0.292579	0.294711	0.289403
76000	1.4785	0.3676	0.3694	0.3722	0.3693	0.8824	0.8794	0.8775	0.8821	0.292272	0.292475	0.294542	0.289261
77000	1.4792	0.3680	0.3695	0.3724	0.3693	0.8821	0.8793	0.8774	0.8821	0.292176	0.292362	0.294388	0.289136
78000	1.4796	0.3680	0.3696	0.3725	0.3694	0.8821	0.8792	0.8774	0.8819	0.292111	0.292313	0.294297	0.289058
79000	1.4802	0.3683	0.3698	0.3728	0.3693	0.8819	0.8792	0.8773	0.8820	0.291997	0.292227	0.294165	0.288937
80000	1.4806	0.3684	0.3699	0.3730	0.3693	0.8818	0.8792	0.8772	0.8820	0.291902	0.292158	0.294067	0.288850
81000	1.4813	0.3687	0.3700	0.3730	0.3696	0.8817	0.8791	0.8772	0.8819	0.291964	0.292229	0.294146	0.289004
82000	1.4819	0.3687	0.3702	0.3734	0.3696	0.8816	0.8790	0.8771	0.8819	0.291842	0.292102	0.294027	0.288901
83000	1.4830	0.3690	0.3705	0.3735	0.3700	0.8815	0.8788	0.8770	0.8817	0.291690	0.291951	0.293882	0.288770
84000	1.4833	0.3692	0.3705	0.3736	0.3701	0.8814	0.8788	0.8770	0.8816	0.291591	0.291844	0.293795	0.288706
85000	1.4834	0.3693	0.3704	0.3736	0.3702	0.8813	0.8789	0.8770	0.8815	0.291473	0.291707	0.293676	0.288613
86000	1.4839	0.3694	0.3706	0.3735	0.3704	0.8812	0.8788	0.8771	0.8814	0.291372	0.291574	0.293552	0.288529
87000	1.4844	0.3695	0.3707	0.3736	0.3706	0.8811	0.8787	0.8771	0.8812	0.291275	0.291433	0.293406	0.288430
