Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
82000	1.6903	0.9724	0.7178	0.6982	0.7714	0.549280	0.518557
83000	1.6916	0.9751	0.7165	0.6976	0.7717	0.549531	0.519099
84000	1.6926	0.9769	0.7157	0.6973	0.7719	0.549776	0.519620
85000	1.6933	0.9792	0.7141	0.6968	0.7725	0.549948	0.520092
86000	1.6941	0.9827	0.7114	0.6955	0.7733	0.550324	0.520785
87000	1.6951	0.9861	0.7090	0.6944	0.7739	0.550598	0.521414
88000	1.6964	0.9899	0.7066	0.6930	0.7746	0.550871	0.522043
89000	1.6979	0.9933	0.7046	0.6921	0.7751	0.551111	0.522646
90000	1.6991	0.9962	0.7028	0.6913	0.7755	0.551330	0.523207
91000	1.6997	0.9983	0.7015	0.6909	0.7757	0.551896	0.523935
92000	1.7011	1.0012	0.6999	0.6897	0.7763	0.552306	0.524585
93000	1.7018	1.0043	0.6975	0.6887	0.7770	0.552685	0.525214
94000	1.7027	1.0073	0.6954	0.6879	0.7776	0.552991	0.525752
95000	1.7034	1.0099	0.6935	0.6868	0.7782	0.553323	0.526312
96000	1.7041	1.0127	0.6914	0.6861	0.7787	0.553611	0.526863
97000	1.7045	1.0145	0.6899	0.6854	0.7792	0.553775	0.527376
98000	1.7052	1.0169	0.6882	0.6846	0.7797	0.553878	0.527830
99000	1.7058	1.0192	0.6867	0.6841	0.7800	0.553934	0.528251
100000	1.7069	1.0212	0.6857	0.6835	0.7801	0.553989	0.528678
101000	1.7073	1.0220	0.6853	0.6839	0.7798	0.554288	0.529145
102000	1.7076	1.0218	0.6857	0.6838	0.7799	0.554439	0.529541
103000	1.7078	1.0228	0.6850	0.6839	0.7800	0.554569	0.529924
104000	1.7085	1.0242	0.6843	0.6835	0.7803	0.554682	0.530288
105000	1.7087	1.0253	0.6834	0.6835	0.7803	0.554804	0.530676
106000	1.7091	1.0267	0.6824	0.6828	0.7808	0.555051	0.531170
107000	1.7096	1.0286	0.6810	0.6824	0.7810	0.555076	0.531471
108000	1.7101	1.0301	0.6800	0.6816	0.7813	0.555109	0.531754
109000	1.7108	1.0315	0.6793	0.6812	0.7815	0.555163	0.532049
110000	1.7113	1.0329	0.6784	0.6806	0.7819	0.555189	0.532334
111000	1.7115	1.0324	0.6791	0.6814	0.7810	0.555314	0.532665
112000	1.7118	1.0307	0.6811	0.6819	0.7804	0.555330	0.532935
113000	1.7119	1.0303	0.6815	0.6821	0.7801	0.555355	0.533227
114000	1.7120	1.0294	0.6826	0.6824	0.7797	0.555361	0.533493
115000	1.7124	1.0288	0.6836	0.6825	0.7794	0.555304	0.533688
116000	1.7129	1.0286	0.6844	0.6824	0.7788	0.555379	0.533880
117000	1.7137	1.0273	0.6864	0.6826	0.7781	0.555346	0.533971
118000	1.7144	1.0262	0.6883	0.6829	0.7774	0.555311	0.534063
119000	1.7153	1.0247	0.6906	0.6834	0.7766	0.555232	0.534130
120000	1.7162	1.0233	0.6929	0.6837	0.7757	0.555173	0.534200
121000	1.7168	1.0219	0.6950	0.6838	0.7751	0.555336	0.534466
122000	1.7175	1.0213	0.6962	0.6842	0.7747	0.555389	0.534652
123000	1.7176	1.0193	0.6983	0.6849	0.7737	0.555391	0.534781
124000	1.7182	1.0171	0.7011	0.6856	0.7729	0.555410	0.534928
125000	1.7186	1.0153	0.7033	0.6860	0.7720	0.555382	0.535021
126000	1.7193	1.0146	0.7047	0.6860	0.7717	0.555394	0.535122
127000	1.7201	1.0136	0.7065	0.6863	0.7708	0.555307	0.535120
128000	1.7208	1.0125	0.7083	0.6864	0.7702	0.555211	0.535128
129000	1.7211	1.0114	0.7097	0.6867	0.7697	0.555119	0.535132
130000	1.7213	1.0104	0.7109	0.6868	0.7696	0.555021	0.535182
131000	1.7218	1.0103	0.7116	0.6864	0.7697	0.555018	0.535294
132000	1.7218	1.0106	0.7112	0.6862	0.7703	0.554986	0.535406
133000	1.7213	1.0106	0.7107	0.6859	0.7711	0.554918	0.535492
134000	1.7211	1.0108	0.7103	0.6860	0.7714	0.554898	0.535619
135000	1.7207	1.0102	0.7106	0.6860	0.7719	0.554934	0.535792
136000	1.7209	1.0097	0.7112	0.6862	0.7714	0.555040	0.536043
137000	1.7213	1.0084	0.7129	0.6864	0.7708	0.555045	0.536208
138000	1.7218	1.0076	0.7142	0.6866	0.7706	0.555038	0.536339
139000	1.7222	1.0069	0.7152	0.6866	0.7702	0.555019	0.536458
140000	1.7225	1.0065	0.7160	0.6867	0.7701	0.555022	0.536598
141000	1.7229	1.0061	0.7167	0.6867	0.7700	0.555061	0.536661
142000	1.7233	1.0059	0.7174	0.6866	0.7701	0.555072	0.536696
143000	1.7236	1.0063	0.7173	0.6863	0.7703	0.555113	0.536780
144000	1.7237	1.0065	0.7172	0.6861	0.7707	0.555148	0.536867
145000	1.7236	1.0063	0.7172	0.6861	0.7710	0.555190	0.536955
146000	1.7239	1.0064	0.7175	0.6860	0.7707	0.555213	0.537096
147000	1.7246	1.0064	0.7182	0.6859	0.7705	0.555179	0.537176
148000	1.7251	1.0063	0.7188	0.6858	0.7702	0.555155	0.537259
149000	1.7255	1.0066	0.7189	0.6857	0.7702	0.555111	0.537319
150000	1.7260	1.0068	0.7193	0.6855	0.7700	0.555078	0.537369
151000	1.7267	1.0070	0.7197	0.6852	0.7697	0.555074	0.537453
152000	1.7274	1.0069	0.7206	0.6851	0.7695	0.554985	0.537450
153000	1.7276	1.0072	0.7204	0.6849	0.7694	0.554908	0.537465
154000	1.7280	1.0071	0.7210	0.6848	0.7691	0.554795	0.537448
155000	1.7289	1.0072	0.7216	0.6847	0.7689	0.554657	0.537411
156000	1.7294	1.0074	0.7220	0.6845	0.7688	0.554660	0.537537
157000	1.7296	1.0074	0.7222	0.6845	0.7686	0.554642	0.537640
158000	1.7298	1.0072	0.7226	0.6843	0.7684	0.554592	0.537711
159000	1.7302	1.0075	0.7228	0.6840	0.7683	0.554556	0.537791
160000	1.7309	1.0078	0.7230	0.6838	0.7682	0.554525	0.537870
161000	1.7313	1.0084	0.7229	0.6834	0.7682	0.554458	0.537916
162000	1.7318	1.0093	0.7225	0.6830	0.7682	0.554322	0.537904
163000	1.7324	1.0102	0.7222	0.6825	0.7683	0.554165	0.537882
164000	1.7326	1.0110	0.7216	0.6821	0.7684	0.553987	0.537821
165000	1.7331	1.0118	0.7213	0.6817	0.7685	0.553771	0.537658
166000	1.7335	1.0126	0.7209	0.6814	0.7685	0.553718	0.537755
167000	1.7338	1.0129	0.7208	0.6812	0.7685	0.553582	0.537829
168000	1.7341	1.0134	0.7207	0.6810	0.7684	0.553431	0.537894
169000	1.7345	1.0134	0.7211	0.6808	0.7682	0.553256	0.537968
170000	1.7347	1.0134	0.7213	0.6807	0.7682	0.553071	0.538016
171000	1.7350	1.0134	0.7216	0.6807	0.7680	0.553060	0.538110
172000	1.7356	1.0134	0.7222	0.6805	0.7678	0.552998	0.538147
173000	1.7361	1.0136	0.7226	0.6804	0.7677	0.552946	0.538198
174000	1.7367	1.0138	0.7229	0.6801	0.7676	0.552897	0.538251
175000	1.7371	1.0141	0.7230	0.6800	0.7676	0.552856	0.538328
176000	1.7370	1.0141	0.7229	0.6800	0.7674	0.552838	0.538460
