Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
82000	1.7260	0.6571	1.0689	0.7864	0.6480	1.645295	1.700664
83000	1.7267	0.6577	1.0690	0.7861	0.6478	1.644040	1.700190
84000	1.7270	0.6581	1.0689	0.7860	0.6477	1.642740	1.699689
85000	1.7273	0.6584	1.0690	0.7859	0.6477	1.641388	1.699118
86000	1.7283	0.6589	1.0694	0.7856	0.6476	1.640228	1.698724
87000	1.7292	0.6596	1.0697	0.7852	0.6475	1.639087	1.698450
88000	1.7305	0.6604	1.0702	0.7850	0.6472	1.638051	1.698234
89000	1.7314	0.6606	1.0708	0.7849	0.6471	1.636935	1.697872
90000	1.7314	0.6606	1.0708	0.7848	0.6471	1.635824	1.697403
91000	1.7321	0.6610	1.0711	0.7846	0.6470	1.635527	1.697012
92000	1.7330	0.6615	1.0715	0.7844	0.6468	1.635183	1.696576
93000	1.7333	0.6619	1.0714	0.7843	0.6468	1.634844	1.696129
94000	1.7338	0.6625	1.0713	0.7841	0.6468	1.634444	1.695621
95000	1.7335	0.6630	1.0705	0.7838	0.6471	1.634137	1.695159
96000	1.7337	0.6639	1.0698	0.7835	0.6472	1.633871	1.694730
97000	1.7338	0.6644	1.0693	0.7832	0.6476	1.633596	1.694260
98000	1.7339	0.6654	1.0686	0.7829	0.6477	1.633357	1.693870
99000	1.7342	0.6664	1.0679	0.7826	0.6479	1.633127	1.693488
100000	1.7347	0.6669	1.0678	0.7823	0.6480	1.632866	1.693015
101000	1.7356	0.6688	1.0669	0.7814	0.6486	1.632343	1.692961
102000	1.7365	0.6717	1.0649	0.7803	0.6493	1.631722	1.692843
103000	1.7375	0.6751	1.0624	0.7792	0.6502	1.631195	1.692767
104000	1.7379	0.6786	1.0593	0.7779	0.6513	1.630623	1.692647
105000	1.7384	0.6820	1.0564	0.7769	0.6522	1.629994	1.692462
106000	1.7386	0.6849	1.0537	0.7759	0.6530	1.629438	1.692321
107000	1.7390	0.6878	1.0512	0.7750	0.6538	1.628925	1.692266
