1000	0.6580	0.3210	0.3370	0.9155	0.9047	0.210423	0.221152
2000	0.7305	0.3490	0.3815	0.9070	0.8957	0.222691	0.225732
3000	0.8130	0.3990	0.4140	0.8862	0.8834	0.234201	0.233396
4000	0.8672	0.4275	0.4397	0.8765	0.8723	0.242068	0.240142
5000	0.9164	0.4506	0.4658	0.8689	0.8646	0.247618	0.245388
6000	0.9660	0.4753	0.4907	0.8609	0.8560	0.252553	0.250494
7000	1.0000	0.4904	0.5096	0.8574	0.8476	0.257710	0.255063
8000	1.0330	0.5016	0.5314	0.8542	0.8382	0.261453	0.258496
9000	1.0694	0.5212	0.5482	0.8472	0.8313	0.265113	0.261940
10000	1.0959	0.5363	0.5596	0.8411	0.8271	0.268274	0.265102
11000	1.1198	0.5509	0.5689	0.8345	0.8235	0.272091	0.268771
12000	1.1473	0.5655	0.5818	0.8291	0.8189	0.273989	0.270548
13000	1.1662	0.5739	0.5922	0.8252	0.8148	0.275581	0.272084
14000	1.1854	0.5841	0.6014	0.8209	0.8110	0.276824	0.273512
15000	1.2045	0.5953	0.6092	0.8161	0.8073	0.277965	0.274868
16000	1.2182	0.6018	0.6164	0.8127	0.8045	0.278643	0.275539
17000	1.2304	0.6075	0.6229	0.8100	0.8019	0.278878	0.276050
18000	1.2443	0.6133	0.6310	0.8074	0.7987	0.278935	0.276257
19000	1.2554	0.6176	0.6377	0.8054	0.7961	0.278881	0.276360
20000	1.2679	0.6237	0.6443	0.8030	0.7934	0.278795	0.276380
21000	1.2764	0.6285	0.6479	0.8011	0.7917	0.279523	0.277566
22000	1.2855	0.6351	0.6505	0.7982	0.7909	0.279556	0.277765
23000	1.2944	0.6404	0.6540	0.7959	0.7894	0.279448	0.277900
24000	1.3038	0.6462	0.6576	0.7936	0.7881	0.279234	0.277863
25000	1.3110	0.6492	0.6618	0.7925	0.7863	0.278938	0.277746
26000	1.3198	0.6539	0.6659	0.7908	0.7846	0.278655	0.277672
27000	1.3266	0.6576	0.6690	0.7891	0.7835	0.278561	0.277709
28000	1.3356	0.6619	0.6737	0.7872	0.7818	0.278329	0.277639
29000	1.3422	0.6657	0.6764	0.7856	0.7811	0.278074	0.277547
30000	1.3463	0.6679	0.6785	0.7845	0.7804	0.277991	0.277583
31000	1.3506	0.6696	0.6810	0.7839	0.7795	0.278495	0.278008
32000	1.3540	0.6710	0.6830	0.7832	0.7787	0.278485	0.277870
