Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
82000	1.8194	0.6275	1.1918	0.7960	0.6013	1.562765	1.629971
83000	1.8195	0.6248	1.1947	0.7967	0.6004	1.562705	1.629434
84000	1.8197	0.6224	1.1973	0.7976	0.5998	1.562552	1.628913
85000	1.8196	0.6198	1.1998	0.7982	0.5992	1.562415	1.628462
86000	1.8195	0.6177	1.2019	0.7989	0.5984	1.562186	1.627940
87000	1.8200	0.6157	1.2043	0.7995	0.5975	1.562064	1.627564
88000	1.8204	0.6137	1.2067	0.8002	0.5966	1.561826	1.627139
89000	1.8207	0.6114	1.2093	0.8008	0.5958	1.561713	1.626830
90000	1.8214	0.6097	1.2117	0.8012	0.5952	1.561437	1.626466
91000	1.8215	0.6077	1.2138	0.8018	0.5943	1.560943	1.626429
92000	1.8220	0.6059	1.2161	0.8025	0.5934	1.560419	1.626330
93000	1.8222	0.6033	1.2188	0.8033	0.5925	1.559979	1.626239
94000	1.8224	0.6011	1.2213	0.8040	0.5915	1.559467	1.626093
95000	1.8226	0.5986	1.2240	0.8047	0.5908	1.559127	1.625939
96000	1.8226	0.5965	1.2261	0.8054	0.5899	1.558743	1.625783
97000	1.8223	0.5939	1.2283	0.8062	0.5891	1.558460	1.625624
98000	1.8224	0.5921	1.2303	0.8067	0.5885	1.558169	1.625563
99000	1.8229	0.5903	1.2326	0.8074	0.5876	1.557851	1.625373
100000	1.8232	0.5880	1.2351	0.8080	0.5870	1.557619	1.625245
101000	1.8237	0.5864	1.2373	0.8086	0.5861	1.557333	1.624839
102000	1.8241	0.5845	1.2396	0.8092	0.5855	1.556875	1.624223
103000	1.8242	0.5825	1.2418	0.8100	0.5849	1.556420	1.623660
104000	1.8242	0.5804	1.2438	0.8106	0.5841	1.555864	1.622970
105000	1.8240	0.5783	1.2456	0.8111	0.5835	1.555327	1.622348
106000	1.8240	0.5768	1.2471	0.8116	0.5831	1.554926	1.621787
107000	1.8238	0.5748	1.2490	0.8122	0.5824	1.554513	1.621204
108000	1.8238	0.5730	1.2508	0.8126	0.5819	1.554063	1.620548
109000	1.8241	0.5717	1.2523	0.8130	0.5814	1.553633	1.619973
110000	1.8241	0.5705	1.2536	0.8135	0.5808	1.553269	1.619307
111000	1.8240	0.5691	1.2549	0.8139	0.5805	1.552765	1.618792
112000	1.8236	0.5674	1.2563	0.8146	0.5799	1.552258	1.618256
113000	1.8235	0.5654	1.2581	0.8151	0.5795	1.551708	1.617703
114000	1.8236	0.5642	1.2594	0.8154	0.5791	1.551188	1.617215
115000	1.8239	0.5629	1.2610	0.8158	0.5785	1.550555	1.616654
116000	1.8239	0.5614	1.2625	0.8163	0.5779	1.550021	1.616195
117000	1.8239	0.5597	1.2642	0.8168	0.5773	1.549462	1.615692
118000	1.8240	0.5580	1.2660	0.8173	0.5770	1.548913	1.615195
119000	1.8239	0.5566	1.2673	0.8177	0.5767	1.548345	1.614681
120000	1.8237	0.5554	1.2683	0.8180	0.5766	1.547813	1.614179
121000	1.8235	0.5547	1.2689	0.8183	0.5763	1.547292	1.613498
122000	1.8229	0.5534	1.2695	0.8186	0.5761	1.546895	1.612930
123000	1.8228	0.5524	1.2703	0.8190	0.5758	1.546395	1.612286
124000	1.8226	0.5514	1.2712	0.8193	0.5756	1.545931	1.611685
125000	1.8220	0.5501	1.2719	0.8198	0.5754	1.545450	1.611108
126000	1.8218	0.5489	1.2730	0.8201	0.5752	1.544995	1.610583
127000	1.8217	0.5481	1.2736	0.8203	0.5749	1.544567	1.610089
128000	1.8214	0.5471	1.2743	0.8206	0.5746	1.544091	1.609536
129000	1.8211	0.5462	1.2750	0.8209	0.5744	1.543606	1.609032
130000	1.8209	0.5454	1.2755	0.8211	0.5743	1.543151	1.608529
131000	1.8205	0.5445	1.2760	0.8214	0.5741	1.542779	1.607902
132000	1.8203	0.5437	1.2766	0.8216	0.5740	1.542261	1.607186
133000	1.8205	0.5431	1.2774	0.8219	0.5739	1.541783	1.606521
134000	1.8204	0.5423	1.2781	0.8221	0.5736	1.541230	1.605829
135000	1.8206	0.5415	1.2790	0.8224	0.5733	1.540783	1.605194
136000	1.8205	0.5408	1.2798	0.8224	0.5732	1.540383	1.604652
137000	1.8207	0.5405	1.2802	0.8225	0.5732	1.539962	1.604092
138000	1.8207	0.5401	1.2806	0.8227	0.5731	1.539599	1.603618
139000	1.8204	0.5392	1.2812	0.8229	0.5728	1.539181	1.603150
140000	1.8204	0.5385	1.2819	0.8232	0.5727	1.538781	1.602689
141000	1.8205	0.5378	1.2827	0.8234	0.5724	1.538389	1.602145
142000	1.8204	0.5370	1.2833	0.8237	0.5722	1.538019	1.601588
143000	1.8200	0.5361	1.2839	0.8239	0.5720	1.537583	1.601006
144000	1.8198	0.5354	1.2844	0.8241	0.5720	1.537141	1.600425
145000	1.8196	0.5346	1.2849	0.8244	0.5718	1.536588	1.599726
146000	1.8194	0.5338	1.2856	0.8247	0.5716	1.536132	1.599126
147000	1.8191	0.5330	1.2862	0.8250	0.5714	1.535668	1.598554
148000	1.8191	0.5324	1.2867	0.8252	0.5713	1.535221	1.597979
149000	1.8187	0.5316	1.2872	0.8254	0.5710	1.534838	1.597491
150000	1.8185	0.5307	1.2877	0.8258	0.5709	1.534339	1.596886
151000	1.8181	0.5299	1.2882	0.8259	0.5707	1.534008	1.596346
152000	1.8179	0.5294	1.2885	0.8262	0.5706	1.533652	1.595753
153000	1.8177	0.5287	1.2890	0.8264	0.5704	1.533290	1.595198
154000	1.8175	0.5280	1.2895	0.8265	0.5703	1.532879	1.594568
155000	1.8173	0.5273	1.2900	0.8267	0.5701	1.532426	1.593947
156000	1.8174	0.5268	1.2906	0.8269	0.5700	1.531959	1.593270
157000	1.8172	0.5263	1.2909	0.8271	0.5699	1.531528	1.592681
158000	1.8172	0.5255	1.2916	0.8272	0.5697	1.531118	1.592110
159000	1.8171	0.5249	1.2922	0.8275	0.5694	1.530737	1.591546
160000	1.8171	0.5240	1.2931	0.8278	0.5692	1.530416	1.591036
161000	1.8168	0.5230	1.2938	0.8281	0.5691	1.530212	1.590473
162000	1.8165	0.5223	1.2941	0.8282	0.5690	1.529857	1.589788
163000	1.8165	0.5218	1.2946	0.8284	0.5688	1.529498	1.589122
164000	1.8163	0.5214	1.2949	0.8285	0.5688	1.529174	1.588500
165000	1.8162	0.5210	1.2952	0.8288	0.5684	1.528784	1.587845
166000	1.8162	0.5203	1.2959	0.8289	0.5682	1.528470	1.587266
167000	1.8161	0.5196	1.2966	0.8292	0.5680	1.528140	1.586702
168000	1.8161	0.5189	1.2972	0.8294	0.5678	1.527842	1.586165
169000	1.8158	0.5182	1.2976	0.8297	0.5676	1.527554	1.585659
170000	1.8156	0.5175	1.2981	0.8298	0.5674	1.527188	1.585123
171000	1.8158	0.5168	1.2990	0.8300	0.5671	1.526863	1.584496
172000	1.8161	0.5163	1.2997	0.8302	0.5669	1.526479	1.583801
173000	1.8161	0.5158	1.3004	0.8304	0.5667	1.526183	1.583194
174000	1.8161	0.5153	1.3008	0.8306	0.5665	1.525921	1.582622
175000	1.8163	0.5150	1.3014	0.8306	0.5663	1.525636	1.582045
176000	1.8166	0.5145	1.3021	0.8308	0.5661	1.525300	1.581432
177000	1.8166	0.5138	1.3028	0.8311	0.5659	1.524991	1.580858
178000	1.8162	0.5129	1.3033	0.8313	0.5658	1.524721	1.580349
179000	1.8163	0.5125	1.3038	0.8314	0.5656	1.524448	1.579810
180000	1.8161	0.5118	1.3043	0.8316	0.5654	1.524175	1.579299
181000	1.8162	0.5112	1.3051	0.8318	0.5651	1.524051	1.578797
182000	1.8162	0.5104	1.3058	0.8321	0.5649	1.523846	1.578198
183000	1.8163	0.5099	1.3064	0.8322	0.5647	1.523681	1.577640
184000	1.8162	0.5091	1.3071	0.8325	0.5645	1.523572	1.577148
185000	1.8162	0.5085	1.3077	0.8326	0.5643	1.523474	1.576690
186000	1.8159	0.5078	1.3081	0.8328	0.5641	1.523388	1.576231
187000	1.8157	0.5070	1.3087	0.8331	0.5638	1.523273	1.575737
188000	1.8154	0.5062	1.3093	0.8334	0.5637	1.523193	1.575301
189000	1.8152	0.5053	1.3099	0.8337	0.5635	1.523145	1.574878
190000	1.8150	0.5045	1.3105	0.8338	0.5633	1.523108	1.574455
191000	1.8149	0.5039	1.3109	0.8341	0.5631	1.523159	1.574030
192000	1.8149	0.5032	1.3117	0.8343	0.5628	1.523171	1.573574
193000	1.8151	0.5028	1.3123	0.8345	0.5627	1.523135	1.573089
194000	1.8150	0.5023	1.3127	0.8346	0.5625	1.523113	1.572606
195000	1.8150	0.5018	1.3132	0.8348	0.5624	1.523138	1.572155
196000	1.8149	0.5012	1.3137	0.8350	0.5622	1.523159	1.571724
197000	1.8150	0.5007	1.3143	0.8351	0.5620	1.523172	1.571278
198000	1.8151	0.5004	1.3147	0.8352	0.5619	1.523181	1.570823
199000	1.8150	0.4997	1.3153	0.8355	0.5617	1.523191	1.570382
200000	1.8148	0.4991	1.3157	0.8357	0.5616	1.523198	1.569967
201000	1.8148	0.4986	1.3163	0.8358	0.5614	1.523157	1.569457
202000	1.8149	0.4983	1.3166	0.8359	0.5613	1.523087	1.568957
203000	1.8149	0.4978	1.3171	0.8361	0.5612	1.523003	1.568443
204000	1.8149	0.4974	1.3175	0.8362	0.5611	1.522845	1.567880
205000	1.8149	0.4972	1.3178	0.8362	0.5609	1.522696	1.567315
206000	1.8149	0.4968	1.3182	0.8364	0.5608	1.522571	1.566809
207000	1.8147	0.4962	1.3185	0.8366	0.5606	1.522466	1.566289
208000	1.8146	0.4955	1.3190	0.8368	0.5605	1.522326	1.565744
209000	1.8144	0.4950	1.3194	0.8369	0.5603	1.522210	1.565252
210000	1.8143	0.4945	1.3198	0.8371	0.5602	1.522062	1.564706
211000	1.8140	0.4939	1.3201	0.8373	0.5601	1.521936	1.564350
212000	1.8139	0.4934	1.3205	0.8374	0.5599	1.521691	1.563886
213000	1.8138	0.4928	1.3210	0.8377	0.5598	1.521465	1.563419
214000	1.8138	0.4922	1.3216	0.8378	0.5595	1.521199	1.562925
215000	1.8137	0.4915	1.3221	0.8380	0.5594	1.520919	1.562423
216000	1.8136	0.4911	1.3225	0.8381	0.5592	1.520642	1.561888
217000	1.8136	0.4907	1.3230	0.8383	0.5590	1.520380	1.561385
218000	1.8135	0.4901	1.3234	0.8385	0.5588	1.520137	1.560890
219000	1.8135	0.4894	1.3240	0.8387	0.5587	1.519850	1.560356
220000	1.8133	0.4889	1.3244	0.8389	0.5586	1.519579	1.559840
221000	1.8129	0.4882	1.3247	0.8390	0.5585	1.519405	1.559400
222000	1.8129	0.4878	1.3251	0.8392	0.5584	1.519167	1.558920
223000	1.8128	0.4874	1.3254	0.8392	0.5583	1.518925	1.558445
224000	1.8128	0.4870	1.3258	0.8394	0.5582	1.518660	1.557939
225000	1.8129	0.4866	1.3263	0.8395	0.5580	1.518404	1.557453
226000	1.8131	0.4863	1.3268	0.8396	0.5579	1.518150	1.556994
227000	1.8130	0.4858	1.3272	0.8398	0.5577	1.517881	1.556524
228000	1.8129	0.4852	1.3277	0.8399	0.5575	1.517669	1.556105
229000	1.8128	0.4848	1.3280	0.8401	0.5574	1.517477	1.555696
230000	1.8126	0.4842	1.3284	0.8403	0.5573	1.517300	1.555299
231000	1.8126	0.4838	1.3288	0.8403	0.5572	1.517236	1.554907
232000	1.8127	0.4836	1.3291	0.8404	0.5571	1.517133	1.554489
233000	1.8127	0.4831	1.3296	0.8406	0.5570	1.517040	1.554067
234000	1.8125	0.4827	1.3298	0.8407	0.5570	1.516969	1.553645
235000	1.8123	0.4822	1.3300	0.8409	0.5568	1.516857	1.553222
236000	1.8123	0.4818	1.3305	0.8410	0.5566	1.516744	1.552808
237000	1.8123	0.4813	1.3311	0.8411	0.5565	1.516671	1.552410
238000	1.8122	0.4808	1.3314	0.8413	0.5564	1.516593	1.552017
239000	1.8122	0.4804	1.3318	0.8414	0.5563	1.516498	1.551624
240000	1.8123	0.4802	1.3321	0.8415	0.5561	1.516453	1.551282
241000	1.8123	0.4798	1.3325	0.8415	0.5561	1.516472	1.550901
242000	1.8123	0.4796	1.3327	0.8417	0.5560	1.516496	1.550529
243000	1.8122	0.4792	1.3330	0.8418	0.5559	1.516553	1.550188
244000	1.8123	0.4789	1.3334	0.8419	0.5558	1.516619	1.549865
245000	1.8123	0.4784	1.3339	0.8420	0.5557	1.516714	1.549574
246000	1.8123	0.4780	1.3344	0.8421	0.5556	1.516786	1.549257
247000	1.8124	0.4777	1.3347	0.8422	0.5555	1.516861	1.548944
248000	1.8123	0.4774	1.3350	0.8424	0.5555	1.516904	1.548617
249000	1.8122	0.4770	1.3352	0.8424	0.5555	1.516976	1.548310
250000	1.8121	0.4766	1.3354	0.8426	0.5554	1.517064	1.548024
251000	1.8117	0.4761	1.3356	0.8427	0.5553	1.517260	1.547636
252000	1.8116	0.4755	1.3361	0.8429	0.5551	1.517412	1.547224
253000	1.8116	0.4751	1.3364	0.8430	0.5551	1.517568	1.546827
254000	1.8116	0.4749	1.3367	0.8431	0.5551	1.517707	1.546381
255000	1.8115	0.4747	1.3369	0.8432	0.5550	1.517882	1.545968
256000	1.8114	0.4744	1.3370	0.8433	0.5550	1.518086	1.545597
257000	1.8114	0.4740	1.3374	0.8435	0.5548	1.518269	1.545212
258000	1.8113	0.4736	1.3377	0.8435	0.5548	1.518495	1.544884
259000	1.8113	0.4734	1.3379	0.8436	0.5547	1.518707	1.544510
260000	1.8110	0.4730	1.3381	0.8438	0.5547	1.518893	1.544150
261000	1.8108	0.4725	1.3383	0.8439	0.5547	1.519171	1.543730
262000	1.8106	0.4720	1.3386	0.8441	0.5546	1.519404	1.543293
263000	1.8104	0.4716	1.3388	0.8442	0.5545	1.519663	1.542890
264000	1.8103	0.4712	1.3391	0.8443	0.5544	1.519904	1.542464
265000	1.8102	0.4709	1.3393	0.8444	0.5543	1.520102	1.542026
266000	1.8101	0.4704	1.3397	0.8446	0.5542	1.520245	1.541537
267000	1.8099	0.4701	1.3398	0.8447	0.5541	1.520426	1.541089
268000	1.8098	0.4696	1.3402	0.8448	0.5540	1.520636	1.540658
269000	1.8097	0.4692	1.3405	0.8449	0.5539	1.520884	1.540244
270000	1.8098	0.4689	1.3409	0.8451	0.5538	1.521137	1.539822
271000	1.8097	0.4686	1.3412	0.8452	0.5537	1.521564	1.539438
272000	1.8096	0.4681	1.3414	0.8453	0.5536	1.521979	1.539028
273000	1.8094	0.4678	1.3416	0.8454	0.5536	1.522420	1.538641
274000	1.8094	0.4676	1.3417	0.8454	0.5535	1.522889	1.538262
275000	1.8095	0.4675	1.3420	0.8455	0.5534	1.523379	1.537878
276000	1.8095	0.4671	1.3424	0.8456	0.5533	1.523848	1.537485
277000	1.8096	0.4667	1.3428	0.8457	0.5532	1.524301	1.537102
278000	1.8094	0.4664	1.3430	0.8458	0.5531	1.524776	1.536690
279000	1.8094	0.4662	1.3432	0.8459	0.5531	1.525262	1.536303
