Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Avg_Reward_User_6	Avg_Reward_User_7	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Packet_Loss_Ratio_User_6	Packet_Loss_Ratio_User_7	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5	Avg_Loss_User_6	Avg_Loss_User_7	Count_Change
22000	1.1350	0.1047	0.1054	0.1633	0.1365	0.1960	0.2718	0.0558	0.1016	0.9657	0.9694	0.9497	0.9560	0.9358	0.9104	0.9811	0.9639	0.320381	0.274937	0.283099	0.298929	0.309459	0.248541	0.228059	0.207770	126
23000	1.1652	0.1092	0.1090	0.1665	0.1408	0.1969	0.2693	0.0588	0.1148	0.9644	0.9692	0.9490	0.9539	0.9360	0.9112	0.9797	0.9601	0.330111	0.286960	0.293560	0.310217	0.319448	0.262527	0.235575	0.219384	151
24000	1.1914	0.1125	0.1119	0.1683	0.1465	0.1971	0.2667	0.0636	0.1248	0.9633	0.9691	0.9496	0.9523	0.9361	0.9120	0.9785	0.9569	0.338585	0.298071	0.303787	0.321051	0.328049	0.275603	0.242738	0.230816	156
25000	1.2113	0.1160	0.1147	0.1684	0.1525	0.1962	0.2637	0.0673	0.1324	0.9620	0.9684	0.9505	0.9503	0.9370	0.9132	0.9772	0.9541	0.346273	0.308210	0.313355	0.330682	0.337891	0.287000	0.249257	0.241975	204
26000	1.2329	0.1183	0.1184	0.1707	0.1569	0.1964	0.2599	0.0693	0.1430	0.9613	0.9679	0.9498	0.9488	0.9363	0.9142	0.9765	0.9515	0.355460	0.319699	0.323459	0.339920	0.346923	0.299011	0.262006	0.253623	200
27000	1.2519	0.1209	0.1206	0.1713	0.1617	0.1973	0.2576	0.0733	0.1491	0.9603	0.9679	0.9512	0.9471	0.9365	0.9148	0.9749	0.9495	0.362896	0.329082	0.331953	0.347299	0.353784	0.309199	0.266722	0.262630	186
28000	1.2707	0.1232	0.1236	0.1716	0.1661	0.1972	0.2555	0.0779	0.1555	0.9597	0.9674	0.9515	0.9457	0.9369	0.9154	0.9739	0.9469	0.369235	0.337269	0.339184	0.353743	0.359950	0.318162	0.270589	0.270717	168
29000	1.2865	0.1255	0.1258	0.1717	0.1698	0.1968	0.2534	0.0805	0.1632	0.9589	0.9672	0.9523	0.9447	0.9370	0.9162	0.9728	0.9448	0.374319	0.344194	0.345355	0.359100	0.365142	0.325719	0.273579	0.277790	146
30000	1.3018	0.1274	0.1287	0.1721	0.1718	0.1969	0.2507	0.0842	0.1700	0.9583	0.9668	0.9528	0.9440	0.9373	0.9171	0.9717	0.9420	0.378192	0.349963	0.350574	0.363404	0.369133	0.331862	0.275543	0.283854	160
31000	1.3108	0.1281	0.1289	0.1720	0.1750	0.1960	0.2491	0.0855	0.1762	0.9581	0.9672	0.9526	0.9415	0.9376	0.9172	0.9715	0.9413	0.382248	0.355139	0.355732	0.367415	0.373127	0.337118	0.282390	0.290806	466
32000	1.3252	0.1288	0.1284	0.1728	0.1867	0.1952	0.2492	0.0880	0.1762	0.9580	0.9670	0.9520	0.9374	0.9381	0.9173	0.9706	0.9417	0.385455	0.359259	0.359679	0.370527	0.376190	0.341452	0.283141	0.296829	379
33000	1.3381	0.1296	0.1292	0.1731	0.1985	0.1944	0.2491	0.0890	0.1752	0.9575	0.9668	0.9516	0.9339	0.9384	0.9175	0.9703	0.9412	0.388178	0.362977	0.363180	0.373215	0.378757	0.345324	0.283729	0.302184	361
34000	1.3515	0.1305	0.1297	0.1737	0.2062	0.1947	0.2469	0.0901	0.1798	0.9574	0.9664	0.9514	0.9321	0.9381	0.9180	0.9699	0.9399	0.390810	0.366236	0.366400	0.375757	0.381247	0.349046	0.284219	0.307210	305
35000	1.3633	0.1308	0.1319	0.1739	0.2113	0.1946	0.2467	0.0919	0.1822	0.9574	0.9659	0.9514	0.9300	0.9385	0.9174	0.9694	0.9394	0.393213	0.369194	0.369352	0.378085	0.383568	0.352412	0.284693	0.311820	368
36000	1.3687	0.1312	0.1322	0.1725	0.2165	0.1924	0.2468	0.0918	0.1854	0.9572	0.9659	0.9518	0.9285	0.9392	0.9181	0.9696	0.9370	0.395793	0.372588	0.372573	0.381031	0.386445	0.356198	0.289992	0.316508	466
37000	1.3788	0.1323	0.1329	0.1705	0.2227	0.1914	0.2453	0.0925	0.1912	0.9567	0.9654	0.9522	0.9262	0.9395	0.9188	0.9689	0.9361	0.397571	0.375453	0.375139	0.383357	0.388718	0.359358	0.290514	0.320563	319
38000	1.3901	0.1340	0.1339	0.1696	0.2282	0.1908	0.2436	0.0951	0.1948	0.9561	0.9650	0.9521	0.9247	0.9399	0.9192	0.9681	0.9344	0.399004	0.378055	0.377428	0.385451	0.390755	0.362212	0.290987	0.324285	283
39000	1.4020	0.1357	0.1360	0.1696	0.2317	0.1904	0.2426	0.0969	0.1991	0.9555	0.9640	0.9522	0.9236	0.9402	0.9197	0.9678	0.9329	0.400415	0.380670	0.379710	0.387535	0.392772	0.365248	0.291369	0.327898	232
40000	1.4110	0.1376	0.1380	0.1687	0.2336	0.1895	0.2411	0.0973	0.2052	0.9548	0.9633	0.9528	0.9230	0.9406	0.9205	0.9677	0.9310	0.401700	0.383234	0.382037	0.389626	0.394805	0.368236	0.291738	0.331412	253
41000	1.4167	0.1383	0.1377	0.1672	0.2352	0.1888	0.2398	0.0994	0.2104	0.9546	0.9632	0.9533	0.9225	0.9407	0.9213	0.9667	0.9292	0.403735	0.385773	0.384706	0.391945	0.397121	0.370980	0.296174	0.335128	421
42000	1.4254	0.1400	0.1388	0.1658	0.2369	0.1892	0.2383	0.1011	0.2153	0.9539	0.9626	0.9537	0.9220	0.9407	0.9222	0.9663	0.9277	0.405233	0.387628	0.386766	0.393696	0.398852	0.373074	0.296481	0.338215	262
43000	1.4347	0.1422	0.1401	0.1649	0.2379	0.1888	0.2367	0.1023	0.2220	0.9532	0.9622	0.9540	0.9215	0.9407	0.9229	0.9659	0.9252	0.406549	0.389351	0.388626	0.395247	0.400387	0.374953	0.296713	0.341039	278
44000	1.4432	0.1437	0.1411	0.1639	0.2408	0.1889	0.2350	0.1035	0.2263	0.9527	0.9617	0.9542	0.9202	0.9405	0.9236	0.9656	0.9244	0.407934	0.391081	0.390508	0.396830	0.401971	0.376934	0.296879	0.343863	297
45000	1.4519	0.1453	0.1429	0.1619	0.2429	0.1892	0.2342	0.1042	0.2312	0.9522	0.9613	0.9548	0.9200	0.9403	0.9238	0.9654	0.9221	0.409286	0.392738	0.392305	0.398386	0.403500	0.378911	0.297032	0.346563	274
46000	1.4553	0.1461	0.1431	0.1597	0.2437	0.1888	0.2328	0.1052	0.2358	0.9521	0.9612	0.9553	0.9193	0.9403	0.9240	0.9649	0.9213	0.410652	0.394881	0.394252	0.400090	0.405173	0.381002	0.300633	0.349462	401
47000	1.4623	0.1472	0.1436	0.1589	0.2458	0.1895	0.2323	0.1068	0.2383	0.9515	0.9610	0.9557	0.9184	0.9401	0.9243	0.9643	0.9205	0.411663	0.396725	0.395830	0.401467	0.406542	0.382720	0.300756	0.352032	285
48000	1.4691	0.1488	0.1445	0.1576	0.2481	0.1896	0.2315	0.1076	0.2415	0.9509	0.9609	0.9561	0.9178	0.9401	0.9243	0.9643	0.9193	0.412628	0.398500	0.397334	0.402773	0.407813	0.384349	0.300878	0.354436	272
49000	1.4759	0.1506	0.1449	0.1560	0.2496	0.1895	0.2310	0.1078	0.2465	0.9504	0.9606	0.9565	0.9175	0.9399	0.9248	0.9642	0.9173	0.413545	0.400189	0.398727	0.404016	0.409046	0.386005	0.300926	0.356741	280
50000	1.4828	0.1520	0.1452	0.1547	0.2501	0.1897	0.2296	0.1085	0.2527	0.9498	0.9604	0.9567	0.9176	0.9397	0.9252	0.9640	0.9152	0.414472	0.401861	0.400138	0.405269	0.410330	0.387583	0.300988	0.359004	302
51000	1.4867	0.1529	0.1454	0.1535	0.2494	0.1890	0.2286	0.1108	0.2570	0.9497	0.9601	0.9568	0.9178	0.9402	0.9255	0.9629	0.9139	0.415577	0.403489	0.401701	0.406754	0.411640	0.389301	0.303999	0.361304	409
52000	1.4937	0.1540	0.1460	0.1530	0.2497	0.1881	0.2277	0.1131	0.2620	0.9492	0.9599	0.9572	0.9176	0.9403	0.9258	0.9622	0.9122	0.416346	0.404879	0.402948	0.407942	0.412627	0.390679	0.303952	0.363316	287
53000	1.5002	0.1552	0.1471	0.1521	0.2497	0.1877	0.2268	0.1146	0.2670	0.9489	0.9593	0.9573	0.9176	0.9404	0.9261	0.9619	0.9110	0.417087	0.406225	0.404233	0.409090	0.413576	0.392021	0.303857	0.365273	239
54000	1.5057	0.1564	0.1484	0.1514	0.2502	0.1870	0.2264	0.1156	0.2702	0.9485	0.9588	0.9576	0.9173	0.9405	0.9261	0.9616	0.9098	0.417898	0.407572	0.405589	0.410283	0.414584	0.393384	0.303830	0.367253	256
55000	1.5102	0.1574	0.1494	0.1503	0.2505	0.1864	0.2260	0.1159	0.2743	0.9481	0.9583	0.9582	0.9173	0.9408	0.9262	0.9617	0.9083	0.418640	0.408831	0.406885	0.411396	0.415535	0.394655	0.303786	0.369140	273
56000	1.5108	0.1577	0.1494	0.1494	0.2499	0.1850	0.2251	0.1158	0.2786	0.9480	0.9583	0.9583	0.9175	0.9412	0.9265	0.9615	0.9067	0.419625	0.410150	0.408191	0.412604	0.416614	0.396146	0.306498	0.371055	378
57000	1.5155	0.1584	0.1499	0.1486	0.2500	0.1845	0.2245	0.1163	0.2831	0.9478	0.9579	0.9585	0.9176	0.9411	0.9267	0.9614	0.9050	0.420224	0.411140	0.409143	0.413502	0.417282	0.397278	0.306350	0.372628	287
58000	1.5204	0.1592	0.1508	0.1478	0.2494	0.1843	0.2238	0.1167	0.2883	0.9475	0.9575	0.9586	0.9176	0.9413	0.9268	0.9611	0.9035	0.420772	0.412117	0.410094	0.414339	0.417968	0.398387	0.306240	0.374155	255
